Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6a055778003b70e7a9f8a18f,69dde55c93fa40572ad06e22,APPROVED,Not Applicable,2026-05-14T05:02:52.765000Z,2026-05-14T05:16:24.866000Z,2026-05-28T15:47:07.673000Z,2026-05-14T05:16:25.207546Z,813.0,NOCODE,459,26,Female,White,United States,United States,United States,English,Yes,Other
6a055845044ad699e0284b62,61528277afcb4906d01e0442,APPROVED,Not Applicable,2026-05-14T05:06:16.377000Z,2026-05-14T05:20:33.860000Z,2026-05-28T15:47:09.730000Z,2026-05-14T05:20:34.183755Z,858.0,XXXXXXX,2149,34,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6a055851d34fe91fec0e034b,60fd6618f9a377f54dcdf318,APPROVED,Not Applicable,2026-05-14T05:06:35.758000Z,2026-05-14T05:18:47.639000Z,2026-05-28T15:47:10.463000Z,2026-05-14T05:18:47.993484Z,732.0,XXXXXXX,24878,40,Male,Mixed,United States,United States,United States,English,Yes,Full-Time
6a055854644114fa61fefeb9,69fe26b086a69fd620422578,APPROVED,Not Applicable,2026-05-14T05:06:34.154000Z,2026-05-14T05:20:49.124000Z,2026-05-28T15:47:11.437000Z,2026-05-14T05:20:49.474270Z,855.0,NOCODE,11,20,Male,Other,United States,United States,United States,English,Yes,Part-Time
6a05587772ac17f82f384db7,69d8eab7b04ea057a65bdb4d,APPROVED,Not Applicable,2026-05-14T05:07:17.148000Z,2026-05-14T05:13:56.596000Z,2026-05-28T15:47:12.821000Z,2026-05-14T05:13:56.947396Z,400.0,NOCODE,424,31,Male,White,United States,United States,United States,English,No,Full-Time
6a05588f241531883faa218c,6a04bec6edb6efc608be2c52,APPROVED,Not Applicable,2026-05-14T05:07:33.091000Z,2026-05-14T05:19:52.302000Z,2026-05-28T15:47:14.853000Z,2026-05-14T05:19:52.626849Z,740.0,NOCODE,9,54,Male,White,United States,United States,United States,English,No,Part-Time
6a05590253022c26f4f1ffbe,600309c2282af236dc94ee2c,APPROVED,Not Applicable,2026-05-14T05:09:42.100000Z,2026-05-14T05:23:50.866000Z,2026-05-28T15:47:15.714000Z,2026-05-14T05:23:51.210141Z,849.0,NOCODE,2209,25,Male,Asian,United States,United States,United States,English,Yes,Other
6a05597b1835a9ecef7e7294,69d5f3ac915d6f4721cb5dc3,APPROVED,Not Applicable,2026-05-14T05:11:33.339000Z,2026-05-14T05:22:33.142000Z,2026-05-28T15:47:16.242000Z,2026-05-14T05:22:33.521523Z,660.0,NOCODE,107,38,Male,Mixed,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6a055a6f9636e22e93a3b881,6a01245257b6204a9ec8f81c,APPROVED,Not Applicable,2026-05-14T05:15:31.253000Z,2026-05-14T05:24:12.489000Z,2026-05-28T15:47:17.149000Z,2026-05-14T05:24:12.837039Z,522.0,NOCODE,8,20,Female,Asian,United States,United States,United States,English,Yes,Due to start a new job within the next month
6a055aa33285be9f1bc0e9d6,67ea5c777a99aaa8d8aadc59,APPROVED,Not Applicable,2026-05-14T05:16:35.744000Z,2026-05-14T05:31:19.472000Z,2026-05-28T15:47:17.466000Z,2026-05-14T05:31:19.841689Z,884.0,XXXXXXX,1500,61,Male,Black,United States,United States,United States,English,No,Full-Time
6a055b694c0cea3b57f8a17b,6983a78799c06204fba33b90,APPROVED,Not Applicable,2026-05-14T05:19:40.127000Z,2026-05-14T05:33:40.310000Z,2026-05-28T15:47:17.962000Z,2026-05-14T05:33:41.180837Z,841.0,NOCODE,246,21,Male,Asian,United States,United States,United States,English,No,Part-Time
6a064def1204bf8026b223bc,69e4289039d1622d8510d291,APPROVED,Not Applicable,2026-05-14T22:34:27.749000Z,2026-05-14T22:56:34.440000Z,2026-05-28T15:47:18.613000Z,2026-05-14T22:56:34.805400Z,1327.0,NOCODE,357,60,Male,White,United States,United States,United States,English,No,Part-Time
